CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,4,09011110,21,827,MG,1,717800,683,684064,4856485
2025,1,10059010,10,474,PA,1,210200,161509,161509,35059
2025,2,10063021,10,580,MA,1,317903,920,920,1199
2025,5,19043000,10,607,MG,1,817800,3000,3000,5850
2025,4,10063021,10,573,RJ,1,710251,80,80,463
2025,3,07133190,10,434,SC,1,927800,15,15,61
2025,3,12019000,21,160,MT,1,317903,277868,277872777,107692220
2025,4,07082000,10,580,PR,1,917800,25,25,53
2025,1,09011110,21,827,ES,1,717600,2310,2311200,11233126
2025,2,07133210,10,476,ES,1,727600,3,3,14
2025,5,07133190,10,77,SP,1,817800,8,8,21
2025,3,09011110,21,87,MG,1,817800,15435,9266555,63127291
2025,3,09011110,21,249,MG,1,817800,23196,19432282,133904903
2025,5,10062010,10,23,MA,1,317903,30,30,66
2025,4,07133319,10,434,RS,1,1017700,19,19,94
2025,1,10059010,10,647,RO,1,227600,15594844,15594844,3319866
2025,5,07081000,10,301,SC,1,927700,10,10,2
2025,1,10081090,10,580,SP,1,817800,7,7,44
2025,4,07133399,10,576,PR,1,517800,3990,3990,5187
2025,6,12019000,21,160,MT,1,927700,40881,40881273,16276739
2025,5,07134090,10,351,SC,1,927502,8,8,41
2025,2,12019000,21,160,SP,1,917800,51164,51162022,20385136
2025,1,10059010,10,245,PR,1,817800,80,80,71
2025,4,07133190,10,467,AL,1,417902,3,3,19
2025,5,07133190,10,77,SP,1,927502,15,15,59
2025,5,12019000,21,776,PI,1,517800,3520,3519989,1387591
2025,1,07133490,10,434,MA,1,317903,5,5,9
2025,5,07131090,10,580,SP,1,817800,16,16,50
2025,5,07082000,10,580,PR,1,917800,40,40,60
2025,1,10059010,10,59,MT,1,817800,18700256,18700256,3902276
2025,1,11042300,10,770,AP,7,240151,50,50,29
2025,3,10063021,10,351,RS,1,1017700,275,275,378
2025,2,12019000,21,160,BA,1,517800,182929,182926240,73114395
2025,4,12019000,21,160,TO,1,817800,16426,16426152,6605167
2025,2,12019000,21,160,ND,1,817800,194300,153109360,76554680
2025,4,10063021,10,434,SC,1,917800,1753,1753,5790
2025,3,07133399,10,467,PE,1,440151,2,2,4
2025,4,07136090,10,580,MA,1,317903,69,69,166
2025,2,10019900,10,81,RS,1,1017700,55930000,55930000,12955783
2025,3,10062020,10,434,ES,1,727600,930,930,1515
