CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,1,10059090,10,741,RS,1,1017700,12,12,19
2025,4,10063011,10,815,RS,1,1017700,52080,52080,39164
2025,2,10063021,10,589,RS,1,1017700,4463750,4463750,3215641
2025,6,10063021,10,83,SP,1,817800,400,400,1265
2025,1,10063021,10,77,RJ,1,717600,818,818,3112
2025,3,12019000,21,87,GO,1,817800,30935,30934649,11637563
2025,1,10064000,10,735,RS,1,1017700,500000,500000,249000
2025,1,10059010,10,59,PR,1,927700,32592728,32592728,6868749
2025,5,12019000,21,676,MG,1,710251,29940,29940560,12099280
2025,1,10062020,10,476,PR,1,917800,400,400,308
2025,2,10059010,10,240,PR,1,927700,87819331,87819331,18780550
2025,4,12019000,21,63,MS,2,147852,80362,80362404,29268386
2025,2,23040090,21,858,RS,1,1017700,19564,19564145,6522601
2025,2,10063021,10,434,ES,1,217800,300,300,363
2025,3,12019000,21,576,MT,1,317903,17529,17530579,6663780
2025,3,12019000,21,589,AC,7,230154,32,31990,10926
2025,3,23040090,21,386,RS,1,1017700,43039,43039042,13956067
2025,4,15079011,21,467,RJ,1,717800,0,36,116
2025,6,10063011,10,160,AL,1,517800,350,350,436
2025,3,12019000,21,369,MT,1,227600,25600,25600000,9397504
2025,4,12019000,21,576,MT,1,817800,37058,37057168,14565221
2025,3,10063021,10,467,PE,1,440151,200,200,244
2025,6,23040090,21,365,RS,1,1017700,25730,25730000,8302712
2025,3,12019000,21,59,MT,1,240152,45246,45245003,17194275
2025,6,10063011,10,65,RS,1,1017700,27545,27545,14686
2025,1,10059010,10,240,MA,1,217800,60000,60000,11858
2025,1,23040090,21,81,MT,1,817800,27274,27274250,9706498
2025,4,15079011,21,580,SP,1,817800,0,0,497
2025,5,23040090,21,232,GO,1,817800,27239,27239443,8654218
2025,3,10061092,10,476,PA,0,210200,310,310,465
2025,3,15079011,21,163,SP,1,817800,84,148,633
2025,2,15071000,21,81,SC,1,917800,3068,3067729,3205341
2025,4,12019000,21,160,SP,1,927700,5134,5134237,1980302
2025,2,12019000,21,776,MS,1,927700,26078,26078252,10158019
2025,6,10062020,10,580,SP,1,817800,300,300,1379
2025,2,10063011,10,589,RS,1,1017700,2742500,2742500,2073119
2025,3,10063021,10,361,PA,1,217800,50,50,319
2025,5,23040010,21,232,PR,1,917800,1873,1873215,673233
2025,4,12019000,21,23,PR,1,917800,111,111020,75263
2025,3,12019000,21,63,MS,2,147852,131851,131849748,47890979
2025,1,10063011,10,83,RS,1,1017700,286975,286975,225971
2025,3,10062010,10,580,RJ,1,717800,150,150,732
2025,6,10063011,10,196,RS,1,1017700,250000,250000,130640
2025,4,10059010,10,40,MT,1,917800,364000,364000,176671
2025,5,12019000,21,160,MA,1,817800,897,896204,358733
2025,6,10063021,10,77,RS,1,1017700,40,40,25
2025,3,12019000,21,160,TO,1,517800,31702,31702765,12163337
2025,4,10059010,10,169,MT,1,917800,780000,780000,307352
2025,6,10063021,10,77,SC,1,927700,200,200,581
2025,5,10063011,10,845,ES,1,727600,390,390,384
2025,5,12019000,21,776,BA,1,517800,66081,66082271,25421405
